create_date,point_id,valid_from,valid_to,carrier,estimated_days,origin_country,origin_name,origin_code,destination_country,destination_name,destination_code,shipping_type,load_type,load_amount,price_usd
2024-02-01,19016396,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Guarulhos Gov Andre Franco Montouro,SBGR,AIR,kg,1000,1900
2024-02-01,19016394,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Galeao Antonio Carlos Jobim,SBGL,AIR,kg,25,85
2024-02-01,19016394,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Galeao Antonio Carlos Jobim,SBGL,AIR,kg,45,153
2024-02-01,19016394,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Galeao Antonio Carlos Jobim,SBGL,AIR,kg,100,215
2024-02-01,19016394,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Galeao Antonio Carlos Jobim,SBGL,AIR,kg,250,537.5
2024-02-01,19016394,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Galeao Antonio Carlos Jobim,SBGL,AIR,kg,300,630
2024-02-01,19016394,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Galeao Antonio Carlos Jobim,SBGL,AIR,kg,500,1000
2024-02-01,19016394,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Galeao Antonio Carlos Jobim,SBGL,AIR,kg,750,1500
2024-02-01,19016394,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Galeao Antonio Carlos Jobim,SBGL,AIR,kg,1000,1900
2024-02-01,19016392,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Pinto Martins Intl,SBFZ,AIR,kg,25,85
2024-02-01,19016392,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Pinto Martins Intl,SBFZ,AIR,kg,45,153
2024-02-01,19016392,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Pinto Martins Intl,SBFZ,AIR,kg,100,255
2024-02-01,19016392,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Pinto Martins Intl,SBFZ,AIR,kg,250,637.5
2024-02-01,19016392,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Pinto Martins Intl,SBFZ,AIR,kg,300,735
2024-02-01,19016392,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Pinto Martins Intl,SBFZ,AIR,kg,500,1175
2024-02-01,19016392,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Pinto Martins Intl,SBFZ,AIR,kg,750,1762.5
2024-02-01,19016392,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Pinto Martins Intl,SBFZ,AIR,kg,1000,2250
2024-02-01,19016390,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Hercilio Luz,SBFL,AIR,kg,25,85
2024-02-01,19016390,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Hercilio Luz,SBFL,AIR,kg,45,153
2024-02-01,19016390,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Hercilio Luz,SBFL,AIR,kg,100,330
2024-02-01,19016390,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Hercilio Luz,SBFL,AIR,kg,250,825
2024-02-01,19016390,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Hercilio Luz,SBFL,AIR,kg,300,960
2024-02-01,19016390,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Hercilio Luz,SBFL,AIR,kg,500,1550
2024-02-01,19016390,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Hercilio Luz,SBFL,AIR,kg,750,2325
2024-02-01,19016390,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Hercilio Luz,SBFL,AIR,kg,1000,3000
2024-02-01,19016388,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Afonso Pena,SBCT,AIR,kg,25,85
2024-02-01,19016388,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Afonso Pena,SBCT,AIR,kg,45,153
2024-02-01,19016388,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Afonso Pena,SBCT,AIR,kg,100,330
2024-02-01,19016388,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Afonso Pena,SBCT,AIR,kg,250,825
2024-02-01,19016388,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Afonso Pena,SBCT,AIR,kg,300,960
2024-02-01,19016388,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Afonso Pena,SBCT,AIR,kg,500,1550
2024-02-01,19016388,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Afonso Pena,SBCT,AIR,kg,750,2325
2024-02-01,19016388,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Afonso Pena,SBCT,AIR,kg,1000,3000
2024-02-01,19016386,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Presidente Juscelino Kubitschek,SBBR,AIR,kg,25,85
2024-02-01,19016386,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Presidente Juscelino Kubitschek,SBBR,AIR,kg,45,153
2024-02-01,19016386,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Presidente Juscelino Kubitschek,SBBR,AIR,kg,100,320
2024-02-01,19016386,2024-01-01,2024-03-31,Azul Brazilian Airlines,,US,Miami Intl,KMIA,BR,Presidente Juscelino Kubitschek,SBBR,AIR,kg,250,800
